,heartRate,thermal,user_id
2019-04-09 15:11:31.075000064+08:00,80.0,10,Saucy Salamander
2019-04-09 17:11:32.818000128+08:00,73.0,10,Saucy Salamander
2019-04-10 09:11:30.430000128+08:00,112.0,10,Saucy Salamander
2019-04-10 11:11:32.120000+08:00,75.0,10,Saucy Salamander
2019-04-10 13:19:29.421999872+08:00,103.0,10,Saucy Salamander
2019-04-10 15:19:29.148999936+08:00,81.0,10,Saucy Salamander
2019-04-10 17:19:37.283000064+08:00,85.0,10,Saucy Salamander
2019-04-10 17:55:39.780999936+08:00,72.0,10,Saucy Salamander
2019-04-11 09:38:35.655000064+08:00,105.0,10,Saucy Salamander
2019-04-11 11:15:39.404000+08:00,73.0,10,Saucy Salamander
2019-04-11 13:15:50.903000064+08:00,112.0,10,Saucy Salamander
2019-04-11 15:15:38.857000192+08:00,77.0,10,Saucy Salamander
2019-04-11 17:35:58.684999936+08:00,65.0,10,Saucy Salamander
2019-04-12 09:15:51.804000+08:00,98.0,10,Saucy Salamander
2019-04-12 11:15:51.324000+08:00,75.0,10,Saucy Salamander
2019-04-12 13:15:51.737999872+08:00,76.0,10,Saucy Salamander
2019-04-12 15:15:56.076999936+08:00,77.0,10,Saucy Salamander
2019-04-12 15:49:19.122999808+08:00,82.0,10,Saucy Salamander
2019-04-12 17:09:13.135000064+08:00,79.0,10,Saucy Salamander
2019-04-12 18:37:13.914000128+08:00,103.0,11,Saucy Salamander
2019-04-14 15:09:35.528999936+08:00,102.0,10,Saucy Salamander
2019-04-14 17:09:20.898000128+08:00,102.0,10,Saucy Salamander
2019-04-15 11:20:52.928999936+08:00,95.0,10,Saucy Salamander
2019-04-15 13:14:28.993999872+08:00,104.0,10,Saucy Salamander
2019-04-15 15:14:27.285000192+08:00,83.0,10,Saucy Salamander
2019-04-15 17:14:27.008000+08:00,94.0,10,Saucy Salamander
2019-04-16 09:24:44.112999936+08:00,122.0,10,Saucy Salamander
2019-04-16 11:04:44.368000+08:00,108.0,11,Saucy Salamander
2019-04-16 15:04:46.545000192+08:00,94.0,10,Saucy Salamander
2019-04-16 18:27:28.805999872+08:00,83.0,10,Saucy Salamander
2019-04-17 11:50:23.544000+08:00,99.0,10,Saucy Salamander
2019-04-17 13:29:29.287000064+08:00,95.0,10,Saucy Salamander
2019-04-17 15:10:33.970000128+08:00,88.0,10,Saucy Salamander
2019-04-17 17:10:32.759000064+08:00,84.0,10,Saucy Salamander
2019-01-30 08:52:36.563000064+08:00,,11,Utopic Unicorn
2019-01-30 08:52:37.005000192+08:00,,11,Utopic Unicorn
2019-01-30 08:52:37.075000064+08:00,,11,Utopic Unicorn
2019-01-30 08:52:37.117000192+08:00,,10,Utopic Unicorn
2019-01-30 08:52:37.188000+08:00,,9,Utopic Unicorn
2019-01-30 08:52:37.244999936+08:00,,10,Utopic Unicorn
2019-01-30 08:52:37.264000+08:00,,10,Utopic Unicorn
2019-01-30 08:52:37.296999936+08:00,,11,Utopic Unicorn
2019-01-30 08:52:37.303000064+08:00,,10,Utopic Unicorn
2019-01-30 08:52:43.463000064+08:00,,11,Utopic Unicorn
2019-01-30 08:52:43.467000064+08:00,,10,Utopic Unicorn
2019-01-30 08:52:43.474999808+08:00,,10,Utopic Unicorn
2019-01-30 08:52:43.480000+08:00,,10,Utopic Unicorn
2019-01-30 08:52:43.499000064+08:00,,10,Utopic Unicorn
2019-01-30 08:52:43.503000064+08:00,,11,Utopic Unicorn
2019-01-30 08:52:43.506000128+08:00,,9,Utopic Unicorn
2019-01-30 08:52:43.515000064+08:00,,11,Utopic Unicorn
2019-01-30 08:52:43.524000+08:00,,11,Utopic Unicorn
2019-01-30 08:52:43.556000+08:00,,11,Utopic Unicorn
2019-01-30 08:52:43.559000064+08:00,,11,Utopic Unicorn
2019-01-31 10:59:56.368000+08:00,,10,Utopic Unicorn
2019-01-31 10:59:56.564000+08:00,,10,Utopic Unicorn
2019-01-31 10:59:56.923000064+08:00,,10,Utopic Unicorn
2019-01-31 10:59:57.020000+08:00,,10,Utopic Unicorn
2019-01-31 11:08:25.647000064+08:00,,10,Utopic Unicorn
2019-01-31 11:08:25.824999936+08:00,,10,Utopic Unicorn
2019-01-31 14:31:24.820000+08:00,,10,Utopic Unicorn
2019-01-31 17:12:45.688999936+08:00,,10,Utopic Unicorn
2019-01-31 19:42:54.967000064+08:00,,11,Utopic Unicorn
2019-01-31 21:12:54.770999808+08:00,,11,Utopic Unicorn
2019-01-31 23:12:56.413000192+08:00,,10,Utopic Unicorn
2019-02-06 09:02:23.986000128+08:00,,10,Utopic Unicorn
2019-02-06 09:02:24.084999936+08:00,,10,Utopic Unicorn
2019-02-06 09:02:24.967000064+08:00,,10,Utopic Unicorn
2019-02-06 09:02:24.971000064+08:00,,9,Utopic Unicorn
2019-02-06 09:02:25.060000+08:00,,9,Utopic Unicorn
2019-02-06 17:30:20.407000064+08:00,,10,Utopic Unicorn
2019-02-06 21:30:27.491000064+08:00,,9,Utopic Unicorn
2019-02-06 23:30:26.385999872+08:00,,10,Utopic Unicorn
2019-02-07 16:08:13.354000128+08:00,,9,Utopic Unicorn
2019-02-07 16:08:13.581000192+08:00,,11,Utopic Unicorn
2019-02-07 16:08:20.175000064+08:00,,11,Utopic Unicorn
2019-02-07 16:08:20.345999872+08:00,,9,Utopic Unicorn
2019-02-07 17:08:18.178999808+08:00,,10,Utopic Unicorn
2019-02-08 08:55:09.220000+08:00,,10,Utopic Unicorn
2019-02-08 08:55:10.776000+08:00,,10,Utopic Unicorn
2019-02-14 07:28:48.331000064+08:00,,10,Utopic Unicorn
2019-02-14 07:28:48.416000+08:00,,10,Utopic Unicorn
2019-02-14 07:28:49.690000128+08:00,,10,Utopic Unicorn
2019-02-14 07:28:49.694999808+08:00,,10,Utopic Unicorn
2019-02-14 07:28:49.710000128+08:00,,10,Utopic Unicorn
2019-02-14 07:28:49.717999872+08:00,,10,Utopic Unicorn
2019-02-14 07:28:49.821000192+08:00,,11,Utopic Unicorn
2019-02-14 07:28:49.852000+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.236000+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.240000+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.246000128+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.250999808+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.257999872+08:00,,9,Utopic Unicorn
2019-02-14 07:28:56.260999936+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.267000064+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.272999936+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.279000064+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.283000064+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.290999808+08:00,,9,Utopic Unicorn
2019-02-14 07:28:56.296999936+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.312000+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.320000+08:00,,11,Utopic Unicorn
2019-02-14 07:28:56.324000+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.332000+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.336999936+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.342000128+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.348999936+08:00,,10,Utopic Unicorn
2019-02-14 07:28:56.356000+08:00,,9,Utopic Unicorn
2019-02-14 07:28:56.368999936+08:00,,11,Utopic Unicorn
2019-02-14 07:29:02.720000+08:00,,10,Utopic Unicorn
2019-02-14 07:29:02.726000128+08:00,,10,Utopic Unicorn
2019-02-14 07:29:02.732000+08:00,,10,Utopic Unicorn
2019-02-14 07:29:02.747000064+08:00,,10,Utopic Unicorn
2019-02-14 07:29:02.756999936+08:00,,11,Utopic Unicorn
2019-02-14 07:29:02.762000128+08:00,,11,Utopic Unicorn
2019-02-14 07:29:02.768999936+08:00,,10,Utopic Unicorn
2019-02-14 07:29:02.770999808+08:00,,10,Utopic Unicorn
2019-02-14 09:44:26.658999808+08:00,,10,Utopic Unicorn
2019-02-14 11:16:57.118000128+08:00,,10,Utopic Unicorn
2019-02-15 13:18:29.891000064+08:00,,10,Utopic Unicorn
2019-02-15 13:18:30.092000+08:00,,10,Utopic Unicorn
2019-02-15 13:18:30.505000192+08:00,,10,Utopic Unicorn
2019-02-15 13:18:30.508999936+08:00,,10,Utopic Unicorn
2019-02-15 13:18:30.710000128+08:00,,10,Utopic Unicorn
2019-02-15 13:18:30.796000+08:00,,11,Utopic Unicorn
2019-02-15 13:18:35.508999936+08:00,,9,Utopic Unicorn
2019-02-15 13:18:35.556999936+08:00,,10,Utopic Unicorn
2019-02-15 13:18:35.733999872+08:00,,10,Utopic Unicorn
2019-02-15 13:18:35.765000192+08:00,,10,Utopic Unicorn
2019-02-15 13:18:35.776000+08:00,,11,Utopic Unicorn
2019-02-15 13:20:05.142999808+08:00,,10,Utopic Unicorn
2019-02-15 15:18:22.933000192+08:00,,9,Utopic Unicorn
2019-02-15 17:18:25.680999936+08:00,,9,Utopic Unicorn
2019-02-17 16:10:15.578000128+08:00,,11,Utopic Unicorn
2019-02-17 16:10:15.784000+08:00,,9,Utopic Unicorn
2019-02-17 16:10:16.828999936+08:00,,9,Utopic Unicorn
2019-02-17 16:10:16.980999936+08:00,,10,Utopic Unicorn
2019-02-17 16:10:17.015000064+08:00,,10,Utopic Unicorn
2019-02-17 16:10:17.036000+08:00,,10,Utopic Unicorn
2019-02-17 16:10:22.256999936+08:00,,10,Utopic Unicorn
2019-02-17 16:10:22.262000128+08:00,,10,Utopic Unicorn
2019-02-17 16:10:22.266000128+08:00,,9,Utopic Unicorn
2019-02-17 16:10:22.269999872+08:00,,9,Utopic Unicorn
2019-02-17 16:10:22.273999872+08:00,,11,Utopic Unicorn
2019-02-17 16:10:22.282000128+08:00,,9,Utopic Unicorn
2019-02-17 16:10:22.287000064+08:00,,9,Utopic Unicorn
2019-02-17 16:10:22.288999936+08:00,,9,Utopic Unicorn
2019-02-17 17:09:46.721999872+08:00,,11,Utopic Unicorn
2019-03-21 15:29:26.352999936+08:00,106.0,10,Utopic Unicorn
2019-03-21 15:49:56.967000064+08:00,92.0,10,Utopic Unicorn
2019-03-21 15:52:11.342000128+08:00,92.0,10,Utopic Unicorn
2019-03-22 08:03:04.209000192+08:00,92.0,10,Utopic Unicorn
2019-03-22 09:07:14.156000+08:00,90.0,11,Utopic Unicorn
2019-03-22 09:12:21.100000+08:00,104.0,10,Utopic Unicorn
2019-03-22 09:41:23.703000064+08:00,82.0,11,Utopic Unicorn
2019-03-22 09:41:30.727000064+08:00,83.0,10,Utopic Unicorn
2019-03-22 11:01:24.246000128+08:00,88.0,10,Utopic Unicorn
2019-03-22 12:25:10.752999936+08:00,81.0,10,Utopic Unicorn
2019-03-22 13:01:25.381999872+08:00,76.0,10,Utopic Unicorn
2019-03-25 13:25:46.737999872+08:00,95.0,11,Utopic Unicorn
2019-03-25 14:10:25.375000064+08:00,101.0,11,Utopic Unicorn
2019-03-26 09:03:34.224999936+08:00,86.0,10,Utopic Unicorn
2019-03-26 13:03:35.748000+08:00,82.0,10,Utopic Unicorn
2019-03-26 15:03:35.750999808+08:00,92.0,10,Utopic Unicorn
2019-03-26 17:03:34.322000128+08:00,79.0,10,Utopic Unicorn
2019-03-27 09:03:36.226000128+08:00,70.0,10,Utopic Unicorn
2019-03-27 11:03:35.118000128+08:00,123.0,10,Utopic Unicorn
2019-03-27 12:11:07.354000128+08:00,86.0,11,Utopic Unicorn
2019-03-27 13:03:36.500999936+08:00,118.0,11,Utopic Unicorn
2019-03-27 15:03:37.596000+08:00,114.0,11,Utopic Unicorn
2019-03-27 15:21:15.947000064+08:00,91.0,10,Utopic Unicorn
2019-03-27 15:24:39.391000064+08:00,88.0,10,Utopic Unicorn
2019-03-27 17:03:36.932000+08:00,74.0,10,Utopic Unicorn
2019-03-27 19:33:50.930000128+08:00,86.0,9,Utopic Unicorn
2019-03-28 09:03:38.415000064+08:00,93.0,10,Utopic Unicorn
2019-03-28 13:27:35.416999936+08:00,114.0,10,Utopic Unicorn
2019-03-28 14:38:26.216000+08:00,92.0,10,Utopic Unicorn
2019-03-28 15:03:38.527000064+08:00,99.0,10,Utopic Unicorn
2019-03-28 17:03:39.280999936+08:00,86.0,10,Utopic Unicorn
2019-03-29 09:03:48.548999936+08:00,97.0,10,Utopic Unicorn
2019-03-29 11:02:26.963000064+08:00,77.0,11,Utopic Unicorn
2019-03-29 13:02:28.967000064+08:00,74.0,10,Utopic Unicorn
2019-03-29 15:02:27.865999872+08:00,92.0,10,Utopic Unicorn
2019-03-29 15:48:35.456000+08:00,78.0,10,Utopic Unicorn
2019-03-29 17:22:09.104000+08:00,115.0,11,Utopic Unicorn
2019-03-29 22:48:16.025000192+08:00,72.0,11,Utopic Unicorn
2019-03-30 09:41:54.846999808+08:00,61.0,9,Utopic Unicorn
2019-03-30 11:04:15.316000+08:00,71.0,10,Utopic Unicorn
2019-03-30 13:04:11.555000064+08:00,71.0,10,Utopic Unicorn
2019-03-30 15:04:17.309999872+08:00,85.0,10,Utopic Unicorn
2019-03-30 17:04:15.168000+08:00,128.0,11,Utopic Unicorn
2019-03-31 09:33:38.846999808+08:00,81.0,10,Utopic Unicorn
2019-03-31 11:04:13.706000128+08:00,78.0,10,Utopic Unicorn
2019-03-31 14:35:58.799000064+08:00,77.0,10,Utopic Unicorn
2019-03-31 15:04:14.378000128+08:00,78.0,10,Utopic Unicorn
2019-03-31 17:04:13.500999936+08:00,79.0,10,Utopic Unicorn
